🇭🇰香港直连,#genre#
翡翠台标清,http://angtv.cn/jd/gd.php?id=fct
明珠台标清,http://angtv.cn/jd/gd.php?id=mzt
揭阳综合,http://angtv.cn/jd/gd.php?id=jyzh
汕头综合,http://angtv.cn/jd/gd.php?id=stzh
汕尾综合,http://angtv.cn/jd/gd.php?id=swzh
惠州一套,http://angtv.cn/jd/gd.php?id=hz1
惠州二套,http://angtv.cn/jd/gd.php?id=hz2
三沙卫视,http://angtv.cn/jd/gd.php?id=ssws
CETV早期教育,http://angtv.cn/jd/gd.php?id=zqjy

⚽️体育频道,#genre#
广东体育,http://angtv.cn/jd/gd.php?id=gdty
CCTV-5    2K,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?  
CCTV-5    2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8 
CCTV-5    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8   
CCTV-5+   2K,http://jycb.f3322.net:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0  
CCTV-5+   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8? 
CCTV-5+   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8   

🐟斗鱼轮播,#genre#
电影频道
贝爷影厅,http://epg.112114.xyz/douyu/252802
欧美大片1,http://epg.112114.xyz/douyu/20415
欧美大片2,http://epg.112114.xyz/douyu/2793084
欧美大片3,http://epg.112114.xyz/douyu/9249162
粤语电影1,http://epg.112114.xyz/douyu/5033502
粤语电影2,http://epg.112114.xyz/douyu/6566671
粤语电影3,http://epg.112114.xyz/douyu/1226741
粤语港片,http://dx-aliyuncdncnc.inter.iqiyi.com/tslive/c51_lb_110_600_t10/c51_lb_110_600_t10.m3u8?key=007540012225a9e4f7bc6db7846c01b66&dis
周星驰,http://epg.112114.xyz/douyu/3990812
刘德华,http://epg.112114.xyz/douyu/2516864
刘德华.,http://epg.112114.xyz/douyu/8985415
林正英,http://epg.112114.xyz/douyu/218859
林正英.,http://epg.112114.xyz/douyu/7356023
喜剧经典,http://epg.112114.xyz/douyu/9650887
宇哥电影,http://epg.112114.xyz/douyu/413573

🎞️新片速递,#genre#
封神 朝歌风云,https://lf6-douyin-ckv-tos.pstatp.com/obj/tos-cn-i-siecs4i2o7/ogZjygANKAzoQUAOExAABJ3MNGfRsh2hoAzcNA
绝地追击,https://vip.ffzy-online6.com/20230923/18977_8858015e/2000k/hls/index.m3u8
消失的她,https://lf9-xigua-ckv-tos.pstatp.com/obj/tos-cn-i-siecs4i2o7/o41osyAQdDJhAydQgAAAiPWtrTdQjfEzAhBBNG
明日战记 粤语,https://vip.lzcdn2.com/20221130/22820_09be4d48/index.m3u8
孤注一掷清晰版,https://hd.ijycnd.com/play/zbqmMMkb/index.m3u8

📡凤凰频道,#genre#
凤凰中文,http://183.250.157.35:8880/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰资讯,http://183.250.157.35:8880/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰香港,http://php.17186.eu.org/phtv/fhxg.m3u8

📡测试频道,#genre#
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
J2,http://r.jdshipin.com/Nr5jq
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://107.167.12.58:27347/livehttpplay?channel_id=30025
无线新闻,http://r.jdshipin.com/CkuBd
明珠台,http://r.jdshipin.com/ZQ4kN
东森新闻美国,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
台视,http://162.19.247.76:22222/live/taishi/index.m3u8
爆谷台,http://159.75.221.205:8090/live/baogu.m3u8

📡测试频道.,#genre#
鳳凰衛視中文台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-9500585d-11b7-404b-9967-6639d66246e3/index.m3u8?by=yeslivetv.com
鳳凰衛視資訊台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-3b92ffff-6a06-4bac-bd4d-ac609f549550.flv?by=yeslivetv.com
J2台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-70069a7b-2925-4440-bb13-7379b419912c/index.m3u8?by=yeslivetv.com
翡翠台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-8d3ff8b3-8731-473b-afaf-c6c6aaee6c5e/index.m3u8?by=yeslivetv.com
無綫新聞台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-4b30dd35-4711-419a-9b42-de620aec12f5/index.m3u8?by=yeslivetv.com
無綫財經·體育·資訊台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-1294969b-d12a-4471-809b-c017bdd5a70c/index.m3u8?by=yeslivetv.com
HOY資訊台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-3e9f20e4-e6fd-4292-ac7a-3180610b1edd/index.m3u8?by=yeslivetv.com
HOY TV開電視,https://pull-f5-spe.ixigua.com/live/YesLiveTV-5a6e1a11-1c02-41e0-8696-a7f31d6f8719/index.m3u8?by=yeslivetv.com
ViuTV,https://pull-f5-spe.ixigua.com/live/YesLiveTV-7d52b017-e92b-4293-8fd3-b520ed2a7509/index.m3u8?by=yeslivetv.com
ViuTV Six,https://pull-f5-spe.ixigua.com/live/YesLiveTV-94500c9e-ec51-46bb-8e40-ccc2d43d79a5.flv?by=yeslivetv.com
香港國際財經台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-5158ec32-b7b4-4603-948d-3d317e635488/index.m3u8?by=yeslivetv.com
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

📡测试频道..,#genre#
TVB J2,p3p://108.181.20.159:19524/603381bc000c683bb820e1461d323227.ts
TVB J2 H.265,p3p://108.181.20.159:19524/635608f100043f27eaffd77323921b39.ts
J5台,p3p://108.181.20.159:19524/6109e9bb0005fd87fd9ce5ea2c1f18d3.ts
TVB翡翠台,p3p://108.181.20.159:19524/611079ef0004e86f173fbef01a0b5d2c.ts
TVB翡翠台 H.265,p3p://108.181.20.159:19524/60334ecb000bc48ab759e3b20e6c720b.ts
TVB无线新闻,p3p://108.181.20.159:19524/60334ca700039553b75184ff03433fad.ts
TVB无线新闻 H.265,p3p://108.181.20.159:19524/627806e90008d15887d2b1eb4fe1076f.ts
TVB财体资讯,p3p://108.181.20.159:19524/5ffbee4900066c0ddf0b8b84423c06f3.ts
TVB财体资讯 H.265,p3p://108.181.20.159:19524/611d989d0005244a4a7f24d111282ffb.ts
TVB明珠,p3p://108.181.20.159:19524/611d99f3000116024a845bb9627404c9.ts
TVB明珠 H.265,p3p://108.181.20.159:19524/602f1ba9000814efa6f2970333d309d9.ts
Viu TV,p3p://108.181.20.159:19524/611d99820007a67c4a82a3fe3cc749de.ts
VIU TV H.265,p3p://108.181.20.159:19524/5fed3234000c7a49a57dbd6e14af358f.ts
VIU 6,p3p://108.181.20.159:19524/5fed31e7000736e2a57c8f4c14d55d36.ts
有线直播新闻,p3p://108.181.20.159:19524/64ff4f0e000d7954168179ff031e6108.ts
香港国际财经,p3p://108.181.20.159:19524/64838620000cd8ed32fb0d6a414411f7.ts
HOY资讯,p3p://108.181.20.159:19524/648378c5000994f732c6e11c048379ef.ts
HOY TV,p3p://108.181.20.159:19524/62184bc3000cd48f11e47b06202b7e18.ts
TVB娱乐新闻,p3p://108.181.20.159:19524/5fe7f68d000e73d9910d2a86341258f7.ts
黄金翡翠台,p3p://108.181.20.159:19524/6318b1a2000966bbfb65f1ac1ddf1e54.ts
TVB千禧经典,p3p://108.181.20.159:19524/645f6a3a0006360ca5eec1c509a8654f.ts
TVB经典,p3p://108.181.20.159:19524/5fdee1a2000b5fba6d93e51308cb7ddf.ts
TVB功夫台,p3p://108.181.20.159:19524/62bdd52d00029143987d459b0f9f5b4e.ts
TVB华语剧,p3p://108.181.20.159:19524/628468270009f262b82e19912ee03cf0.ts
TVB粤语片,p3p://108.181.20.159:19524/62846a070000252cb8356a114c321bbc.ts
TVB亚洲剧,p3p://108.181.20.159:19524/6284685e00039b52b82eeeca7a785fda.ts
TVB 18赛马,p3p://108.181.20.159:19524/630aae2a0009c386c4a94bfb4c686b60.ts
TVB星河(粤),p3p://108.181.20.159:19524/5fdee23d000b670a6d96428e4c334643.ts
TVB星河(国),p3p://108.181.20.159:19524/5ffd0efa000f212be37341231b012d7c.ts
TVB亚洲综艺,p3p://108.181.20.159:19524/63108c86000a543bdb95705579fa26ad.ts
TVB戏曲,p3p://108.181.20.159:19524/63108bd0000e4a9cdb92aa6820e833d5.ts
Now新闻,p3p://108.181.20.159:19524/603351e60000121db766022a27962951.ts
Now财经,p3p://108.181.20.159:19524/6256e47a0007a6bb0665fa1971252f50.ts
NOW华剧,p3p://108.181.20.159:19524/6506cb0e0008984033bdad0a032e110d.ts
